Title,score,budget,gross,Profitability,Marketing Amount,Pre-Production Amount,VFX Amount,Post Production Amount,Music Amount,Distribution Amount,released_epoch,genre_encoded,star_encoded,success
Loving Couples,5.2,0.063505062,0.000985745,0.049933582,0.042336708,0.077617298,0.014492181,0.063505062,0.063505062,0.063505062,341193600,4,2447,0
The King and the Mockingbird,7.9,0.212879767,5.88e-05,0.029770645,0.113535876,0.165573152,0.291481527,0.28383969,0.266099709,0.212879767,322272000,2,1154,0
"Oh, God! Book II",5.2,0.063505062,0.005094142,0.054159177,0.042336708,0.077617298,0.014492181,0.063505062,0.063505062,0.063505062,339379200,4,883,0
"Those Lips, Those Eyes",6.5,0.063505062,0.000282629,0.049210408,0.042336708,0.077617298,0.014492181,0.063505062,0.063505062,0.063505062,335145600,4,838,0
La Cage aux Folles II,5.8,0.063505062,0.002440999,0.051430349,0.042336708,0.077617298,0.014492181,0.063505062,0.063505062,0.063505062,351043200,4,1895,0
The Gong Show Movie,4.3,0.063505062,0.002325587,0.051311645,0.042336708,0.077617298,0.014492181,0.063505062,0.063505062,0.063505062,327888000,4,470,0
Gilda Live,6.8,0.063505062,0.000794279,0.049736654,0.042336708,0.077617298,0.014492181,0.063505062,0.063505062,0.063505062,323049600,4,901,0
Why Would I Lie?,6.5,0.063505062,0.00041298,0.049344478,0.042336708,0.077617298,0.014492181,0.063505062,0.063505062,0.063505062,334540800,4,2681,0
First Family,4.3,0.063505062,0.005338109,0.054410103,0.042336708,0.077617298,0.014492181,0.063505062,0.063505062,0.063505062,346550400,4,282,0
Mantis Fist Fighter,6.7,0.163158987,0.051105022,0.088667101,0.163158987,0.163158987,0.14893487,0.163158987,0.163158987,0.163158987,395020800,0,1412,0
Indiana Jones and the Raiders of the Lost Ark,8.4,0.050561798,0.136948456,0.191439314,0.050561798,0.050561798,0.046153846,0.050561798,0.050561798,0.050561798,361152000,0,960,1
Body Heat,7.4,0.062819005,0.008449862,0.05769885,0.033503469,0.076778783,0.028671238,0.062819005,0.094228507,0.062819005,367804800,5,2767,0
An American Werewolf in London,7.5,0.028089888,0.010771593,0.06455297,0.018726592,0.034332085,0.006410256,0.028089888,0.028089888,0.028089888,367200000,4,603,0
Escape from New York,7.2,0.016853933,0.008866331,0.064038299,0.016853933,0.016853933,0.015384615,0.016853933,0.016853933,0.016853933,363571200,0,1543,1
The Evil Dead,7.5,0.000983146,0.001038417,0.058028065,0.000655431,0.000983146,0.000448718,0.000983146,0.001474719,0.000983146,419212800,10,330,1
Porky's,6.2,0.007022472,0.039086775,0.096385147,0.004681648,0.008583021,0.001602564,0.007022472,0.007022472,0.007022472,385344000,4,535,1
Blow Out,7.4,0.050561798,0.004214599,0.054919045,0.026966292,0.061797753,0.023076923,0.050561798,0.075842697,0.050561798,364780800,5,1319,0
Clash of the Titans,6.9,0.042134831,0.014432306,0.066511932,0.042134831,0.042134831,0.038461538,0.042134831,0.042134831,0.042134831,361152000,0,1577,0
Excalibur,7.4,0.030898876,0.012282442,0.065745682,0.030898876,0.030898876,0.028205128,0.030898876,0.030898876,0.030898876,355708800,1,2004,0
Mad Max 2,7.6,0.008426966,0.008312723,0.064552606,0.008426966,0.008426966,0.007692308,0.008426966,0.008426966,0.008426966,390787200,0,1827,1
Das Boot,8.3,0.128394351,0.004034662,0.044724722,0.128394351,0.128394351,0.117200998,0.128394351,0.128394351,0.128394351,382147200,1,1411,0
Stripes,6.9,0.028089888,0.029957718,0.084286405,0.018726592,0.034332085,0.006410256,0.028089888,0.028089888,0.028089888,362361600,4,255,1
Possession,7.4,0.064366879,0.000391093,0.049211137,0.030037877,0.09297438,0.014688852,0.064366879,0.064366879,0.064366879,436147200,6,1037,0
The Cannonball Run,6.2,0.050561798,0.025350663,0.076658044,0.050561798,0.050561798,0.046153846,0.050561798,0.050561798,0.050561798,361756800,0,343,1
Thief,7.4,0.015449438,0.004036502,0.059251311,0.015449438,0.015449438,0.014102564,0.015449438,0.015449438,0.015449438,354499200,0,1075,0
