Title,score,budget,Marketing Amount,gross,Profitability,Pre-Production Amount,VFX Amount,Post Production Amount,Music Amount,Distribution Amount,released_epoch,genre_encoded,star_encoded
The Escape Artist,6.2,22607802.13,5651950.532,143369,-22464433.13,12434291.17,1695585.16,1695585.16,904312.0852,2825975.266,391392000,4,2178
Night Crossing,6.5,10000000,1750000,8000000,-2000000,6500000,750000,750000,400000,1250000,381715200,6,1300
Endangered Species,5.9,22914608.79,4010056.539,1474249,-21440359.79,14894495.71,1718595.659,1718595.659,916584.3517,2864326.099,400464000,6,2257
Things Are Tough All Over,6,7000000,2625000,21134374,14134374,3150000,2100000,525000,280000,875000,397267200,0,2661
Homework,3.5,22607802.13,5651950.532,2914328,-19693474.13,12434291.17,1695585.16,1695585.16,904312.0852,2825975.266,399254400,4,1253
Jinxed!,4.7,13400000,3350000,2869638,-10530362,7370000,1005000,1005000,536000,1675000,404092800,4,245
The Return of Martin Guerre,7.4,25312316.72,4429655.427,3723036,-21589280.72,13921774.2,1898423.754,1898423.754,1012492.669,3164039.59,430704000,3,941
They Call Me Bruce,5.7,58084599.21,21781724.7,16894678,-41189921.21,26138069.64,17425379.76,4356344.941,2323383.968,7260574.901,405907200,0,1324
Some Kind of Hero,5.8,22607802.13,5651950.532,23671186,1063383.871,12434291.17,1695585.16,1695585.16,904312.0852,2825975.266,386553600,4,2221
Hammett,6.5,22363565.63,4472713.126,42914,-22320651.63,12299961.1,3354534.844,1677267.422,1341813.938,2795445.704,401068800,5,851
Five Days One Summer,6.1,15000000,2625000,199078,-14800922,9750000,1125000,1125000,600000,1875000,987724800,6,2387
Penitentiary II,4.4,22363565.63,4472713.126,3178542,-19185023.63,12299961.1,3354534.844,1677267.422,1341813.938,2795445.704,386553600,5,1594
If You Could See What I Hear,6.8,25312316.72,4429655.427,8693512,-16618804.72,13921774.2,1898423.754,1898423.754,1012492.669,3164039.59,388368000,3,1718
Partners,5.3,6000000,1500000,6062898,62898,3300000,450000,450000,240000,750000,388972800,4,2311
Richard Pryor: Live on the Sunset Strip,7.7,22607802.13,5651950.532,36299720,13691917.87,12434291.17,1695585.16,1695585.16,904312.0852,2825975.266,384739200,4,2221
Bugs Bunny's 3rd Movie: 1001 Rabbit Tales,7.1,75785197.13,15157039.43,78350,-75706847.13,26524819,34103338.71,7578519.713,3789259.857,9473149.642,406512000,2,1825
Monsignor,5.1,22363565.63,4472713.126,12408066,-9955499.63,12299961.1,3354534.844,1677267.422,1341813.938,2795445.704,404092800,5,466
"Yes, Giorgio",3.9,19000000,4750000,2279543,-16720457,10450000,1425000,1425000,760000,2375000,401673600,4,1679
I Ought to Be in Pictures,6.2,22607802.13,5651950.532,6968359,-15639443.13,12434291.17,1695585.16,1695585.16,904312.0852,2825975.266,385948800,4,2738
La traviata,7.2,22914608.79,4010056.539,3783329,-19131279.79,14894495.71,1718595.659,1718595.659,916584.3517,2864326.099,414374400,6,2582
Fighting Back,6.1,58084599.21,21781724.7,3355948,-54728651.21,26138069.64,17425379.76,4356344.941,2323383.968,7260574.901,390787200,0,2652
Kamikaze 89,5.8,19733750,5920125,22440,-19711310,6906812.5,7893500,2466718.75,986687.5,2466718.75,395625600,15,2166
The Wizard of Oz,6.8,75785197.13,15157039.43,239229987.5,163444790.3,26524819,34103338.71,7578519.713,3789259.857,9473149.642,402710400,2,31
Heidi's Song,6.3,75785197.13,15157039.43,5124391,-70660806.13,26524819,34103338.71,7578519.713,3789259.857,9473149.642,406512000,2,1656
Love Child,5.7,22363565.63,4472713.126,39401196.17,17037630.54,12299961.1,3354534.844,1677267.422,1341813.938,2795445.704,403488000,5,105
Boardinghouse,3.8,10000,2500,44331874.3,44321874.3,5500,750,750,400,1250,435542400,4,1321
Experience Preferred... But Not Essential,7,22914608.79,4010056.539,38930959.49,16016350.7,14894495.71,1718595.659,1718595.659,916584.3517,2864326.099,409363200,6,740
The Personals,6.7,435000,108750,44331874.3,43896874.3,239250,32625,32625,17400,54375,987724800,4,260
Lonely Hearts,6.8,22607802.13,5651950.532,777087,-21830715.13,12434291.17,1695585.16,1695585.16,904312.0852,2825975.266,404006400,4,2747
Scarface,8.3,25000000,5000000,65884703,40884703,13750000,3750000,1875000,1500000,3125000,439776000,5,38
The Outsiders,7.1,10000000,2000000,25697647,15697647,5500000,1500000,750000,600000,1250000,417398400,5,345
Star Wars: Episode VI - Return of the Jedi,8.3,32500000,12187500,475106177,442606177,14625000,9750000,2437500,1300000,4062500,422668800,0,1746
Risky Business,6.8,6200000,1550000,63541777,57341777,3410000,465000,465000,248000,775000,428889600,4,2636
National Lampoon's Vacation,7.4,15000000,5625000,61399552,46399552,6750000,4500000,1125000,600000,1875000,428284800,1,411
Trading Places,7.5,15000000,3750000,90404800,75404800,8250000,1125000,1125000,600000,1875000,423878400,4,711
Superman III,5,39000000,14625000,59950623,20950623,17550000,11700000,2925000,1560000,4875000,424656000,0,466
The Big Chill,7.2,8000000,2000000,56399659,48399659,4400000,600000,600000,320000,1000000,433728000,4,2634
Staying Alive,4.7,22000000,3850000,64892670,42892670,14300000,1650000,1650000,880000,2750000,427075200,6,1319
Jaws 3-D,3.7,20500000,7687500,87987055,67487055,9225000,6150000,1537500,820000,2562500,427680000,1,639
Christine,6.7,9700000,2425000,21017849,11317849,4365000,1455000,727500,582000,1212500,439776000,10,1469
Sleepaway Camp,6.3,350000,87500,47372409.13,47022409.13,157500,52500,26250,21000,43750,437961600,10,819
Flashdance,6.2,4000000,700000,92921203,88921203,2600000,300000,300000,160000,500000,419212800,6,1181
WarGames,7.1,12000000,4500000,79567667,67567667,5400000,3600000,900000,480000,1500000,423446400,0,1798
The Right Stuff,7.8,27000000,10125000,21192315,-5807685,12150000,8100000,2025000,1080000,3375000,445824000,1,2333
Krull,6.1,47000000,17625000,16916617,-30083383,21150000,14100000,3525000,1880000,5875000,428284800,0,1479
Spring Break,4.9,22607802.13,5651950.532,24071666,1463863.871,12434291.17,1695585.16,1695585.16,904312.0852,2825975.266,417398400,4,598
The Dead Zone,7.2,10000000,1750000,20766616,10766616,6500000,750000,750000,400000,1250000,435542400,6,468
Octopussy,6.5,27500000,10312500,67893619,40393619,12375000,8250000,2062500,1100000,3437500,424051200,0,2269
Private School,5.3,3500000,875000,14049540,10549540,1925000,262500,262500,140000,437500,428284800,4,2141
Valley Girl,6.4,350000,87500,17343596,16993596,192500,26250,26250,14000,43750,420422400,4,1998
Rumble Fish,7.2,10000000,2000000,2494480,-7505520,5500000,1500000,750000,600000,1250000,435542400,5,1791
Videodrome,7.2,5952000,1488000,2120439,-3831561,2678400,892800,446400,357120,744000,413164800,10,1102
Terms of Endearment,7.4,8000000,2000000,108423749,100423749,4400000,600000,600000,320000,1000000,439776000,4,2447
Twilight Zone: The Movie,6.5,10000000,2500000,29450919,19450919,4500000,1500000,750000,600000,1250000,425260800,10,531
Never Say Never Again,6.2,36000000,13500000,55432841,19432841,16200000,10800000,2700000,1440000,4500000,434332800,0,2387
A Christmas Story,7.9,3300000,825000,20653717,17353717,1815000,247500,247500,132000,412500,437961600,4,2113
Cujo,6.1,5000000,1250000,21156152,16156152,2250000,750000,375000,300000,625000,429494400,10,623
Sudden Impact,6.6,22000000,8250000,67642693,45642693,9900000,6600000,1650000,880000,2750000,439776000,0,484
The Hunger,6.7,22914608.79,4010056.539,5988322,-16926286.79,14894495.71,1718595.659,1718595.659,916584.3517,2864326.099,420422400,6,370
Mr. Mom,6.6,22607802.13,5651950.532,64783827,42176024.87,12434291.17,1695585.16,1695585.16,904312.0852,2825975.266,430099200,4,1869
Blue Thunder,6.4,22000000,8250000,42313354,20313354,9900000,6600000,1650000,880000,2750000,421632000,0,2298
Breathless,5.9,7500000,2812500,19910002,12410002,3375000,2250000,562500,300000,937500,421632000,0,2212
Psycho II,6.5,5000000,1000000,34725000,29725000,2750000,750000,375000,300000,625000,423446400,5,167
Local Hero,7.4,22607802.13,5651950.532,5899678,-16708124.13,12434291.17,1695585.16,1695585.16,904312.0852,2825975.266,416707200,4,342
Bad Boys,7.2,22363565.63,4472713.126,9190819,-13172746.63,12299961.1,3354534.844,1677267.422,1341813.938,2795445.704,417398400,5,2394
Silkwood,7.2,10000000,1750000,35615609,25615609,5500000,750000,750000,400000,1250000,444009600,3,1841
