Title,score,budget,Marketing Amount,gross,Profitability,Pre-Production Amount,VFX Amount,Post Production Amount,Music Amount,Distribution Amount,released_epoch,genre_encoded,star_encoded
Brazil,7.9,15000000,2625000,9949953,-5050047,9750000,1125000,1125000,600000,1875000,503712000,6,1342
Pale Rider,7.3,6900000,1207500,41410568,34510568,4485000,517500,517500,276000,862500,488764800,6,484
Teen Wolf,6.1,22607802.13,5651950.532,33086611,10478808.87,12434291.17,1695585.16,1695585.16,904312.0852,2825975.266,493603200,4,1864
Real Genius,7,8000000,2000000,12952019,4952019,4400000,600000,600000,320000,1000000,492220800,4,2699
Commando,6.7,10000000,3750000,57491000,47491000,4500000,3000000,750000,400000,1250000,497232000,0,180
Witness,7.4,12000000,2400000,68706993,56706993,6600000,1800000,900000,720000,1500000,476668800,5,960
The Color Purple,7.8,15000000,2625000,98467863,83467863,9750000,1125000,1125000,600000,1875000,508118400,6,565
Silverado,7.2,26000000,9750000,32192570,6192570,11700000,7800000,1950000,1040000,3250000,489801600,0,1499
Rocky IV,6.9,30000000,5250000,300473716,270473716,19500000,2250000,2250000,1200000,3750000,501897600,6,2539
Better Off Dead...,7.1,22607802.13,5651950.532,10297601,-12310201.13,12434291.17,1695585.16,1695585.16,904312.0852,2825975.266,497836800,4,1288
Ran,8.2,11500000,4312500,4164283,-7335717,5175000,3450000,862500,460000,1437500,486432000,0,2565
Ladyhawke,7,20000000,7500000,18432000,-1568000,9000000,6000000,1500000,800000,2500000,482112000,1,1798
A Room with a View,7.3,3000000,525000,21041453,18041453,1950000,225000,225000,120000,375000,513561600,6,1708
Red Sonja,5.1,17900000,6712500,6951415,-10948585,8055000,5370000,1342500,716000,2237500,489196800,0,180
Fright Night,7.1,9000000,2700000,24922237,15922237,3150000,3600000,1125000,450000,1125000,491788800,8,440
Explorers,6.5,25000000,9375000,9873044,-15126956,11250000,7500000,1875000,1000000,3125000,489974400,1,794
Flesh+Blood,6.7,6500000,2437500,109325230.2,102825230.2,2925000,1950000,487500,260000,812500,494208000,1,2305
Mad Max Beyond Thunderdome,6.3,10000000,3750000,36230219,26230219,4500000,3000000,750000,400000,1250000,489801600,0,1827
After Hours,7.7,4500000,1125000,10609321,6109321,2475000,337500,337500,180000,562500,497836800,4,932
A View to a Kill,6.3,30000000,11250000,50327960,20327960,13500000,9000000,2250000,1200000,3750000,485740800,0,2269
Fletch,6.9,8000000,2000000,59612888,51612888,4400000,600000,600000,320000,1000000,486345600,4,411
Perfect,4.5,19000000,3325000,12918858,-6081142,12350000,1425000,1425000,760000,2375000,486950400,6,1319
A Nightmare on Elm Street 2: Freddy's Revenge,5.5,3000000,750000,29999213,26999213,1350000,450000,225000,180000,375000,499651200,10,2244
Summer Rental,6.3,22607802.13,5651950.532,24689703,2081900.871,12434291.17,1695585.16,1695585.16,904312.0852,2825975.266,492393600,4,1283
Lifeforce,6.2,25000000,9375000,11603545,-13396455,11250000,7500000,1875000,1000000,3125000,488160000,0,2512
Pee-wee's Big Adventure,7,6000000,2250000,40940662,34940662,2700000,1800000,450000,240000,750000,492393600,1,2092
Out of Africa,7.2,31000000,5425000,227514205,196514205,17050000,2325000,2325000,1240000,3875000,503884800,3,1841
Day of the Dead,7.1,3500000,875000,5000000,1500000,1575000,525000,262500,210000,437500,490579200,10,1652
Just One of the Guys,6.5,22607802.13,5651950.532,11528900,-11078902.13,12434291.17,1695585.16,1695585.16,904312.0852,2825975.266,483321600,4,1370
National Lampoon's European Vacation,6.2,17000000,6375000,49364621,32364621,7650000,5100000,1275000,680000,2125000,491184000,1,411
Spies Like Us,6.4,22000000,8250000,60088980,38088980,9900000,6600000,1650000,880000,2750000,502675200,1,411
House,6.2,3000000,750000,19444631,16444631,1650000,225000,225000,120000,375000,509932800,4,2768
Police Academy 2: Their First Assignment,5.8,7600000,1900000,55600000,48000000,4180000,570000,570000,304000,950000,480902400,4,2507
The Black Cauldron,6.4,44000000,8800000,21288692,-22711308,15400000,19800000,4400000,2200000,5500000,491011200,2,921
Friday the 13th: A New Beginning,4.8,2200000,550000,21930418,19730418,990000,330000,165000,132000,275000,480297600,10,1830
Runaway Train,7.2,9000000,3375000,7683620,-1316380,4050000,2700000,675000,360000,1125000,506304000,0,1332
Re-Animator,7.2,900000,225000,2023414,1123414,495000,67500,67500,36000,112500,498441600,4,1168
Brewster's Millions,6.5,20000000,5000000,45833132,25833132,11000000,1500000,1500000,800000,2500000,485568000,4,2221
The Last Dragon,6.9,10000000,3750000,25754284,15754284,4500000,3000000,750000,400000,1250000,480297600,0,2548
The Legend of Billie Jean,6.6,58084599.21,21781724.7,3099497,-54985102.21,26138069.64,17425379.76,4356344.941,2323383.968,7260574.901,490579200,0,983
Desperately Seeking Susan,6,4500000,1125000,27398584,22898584,2475000,337500,337500,180000,562500,482112000,4,2288
Girls Just Want to Have Fun,6,22607802.13,5651950.532,6326051,-16281751.13,12434291.17,1695585.16,1695585.16,904312.0852,2825975.266,482112000,4,248
Vision Quest,6.6,22914608.79,4010056.539,12993175,-9921433.792,14894495.71,1718595.659,1718595.659,916584.3517,2864326.099,477273600,6,1804
Jagged Edge,6.5,15000000,2625000,40491165,25491165,9750000,1125000,1125000,600000,1875000,497232000,6,1162
Enemy Mine,6.9,40000000,15000000,12303411,-27696589,18000000,12000000,3000000,1600000,5000000,503884800,0,639
Tuff Turf,6.1,58084599.21,21781724.7,9369329,-48715270.21,26138069.64,17425379.76,4356344.941,2323383.968,7260574.901,474249600,0,1097
Volunteers,5.5,45708389.06,17140645.9,19875740,-25832649.06,20568775.08,13712516.72,3428129.179,1828335.562,5713548.632,492998400,1,2641
The Jewel of the Nile,6.1,25000000,9375000,96773200,71773200,11250000,7500000,1875000,1000000,3125000,503107200,0,1857
Once Bitten,5.5,3200000,800000,10000000,6800000,1760000,240000,240000,128000,400000,500860800,4,1574
Private Resort,5.3,22607802.13,5651950.532,331816,-22275986.13,12434291.17,1695585.16,1695585.16,904312.0852,2825975.266,483926400,4,2234
Police Story,7.6,58084599.21,21781724.7,113164,-57971435.21,26138069.64,17425379.76,4356344.941,2323383.968,7260574.901,503366400,0,1052
Into the Night,6.5,8000000,3000000,7562164,-437836,3600000,2400000,600000,320000,1000000,477878400,0,1165
The Sure Thing,7,4500000,1125000,18135531,13635531,2475000,337500,337500,180000,562500,478483200,4,1288
White Nights,6.7,20000000,3500000,42160849,22160849,13000000,1500000,1500000,800000,2500000,502675200,6,1914
Mischief,6.5,22607802.13,5651950.532,8692426,-13915376.13,12434291.17,1695585.16,1695585.16,904312.0852,2825975.266,476668800,4,684
Silver Bullet,6.4,7000000,1750000,12361866,5361866,3150000,1050000,525000,420000,875000,497836800,10,869
Kiss of the Spider Woman,7.4,22914608.79,4010056.539,17009654,-5904954.792,14894495.71,1718595.659,1718595.659,916584.3517,2864326.099,491184000,6,2767
My Beautiful Laundrette,6.9,22607802.13,5651950.532,2455535,-20152267.13,12434291.17,1695585.16,1695585.16,904312.0852,2825975.266,512956800,4,2321
Young Sherlock Holmes,6.8,18000000,6750000,19739575,1739575,8100000,5400000,1350000,720000,2250000,502502400,1,1989
Smooth Talk,6.5,2400000,420000,16785,-2383215,1560000,180000,180000,96000,300000,500860800,6,2681
Porky's Revenge,4.8,9000000,2250000,20518905,11518905,4950000,675000,675000,360000,1125000,480297600,4,535
Year of the Dragon,6.9,24000000,9000000,18707466,-5292534,10800000,7200000,1800000,960000,3000000,492998400,0,1903
Prizzi's Honor,6.7,22607802.13,5651950.532,26657534,4049731.871,12434291.17,1695585.16,1695585.16,904312.0852,2825975.266,487555200,4,1048
The Quiet Earth,6.8,1000000,175000,2123135,1123135,650000,75000,75000,40000,125000,498441600,6,336
Tampopo,8,22607802.13,5651950.532,444213,-22163589.13,12434291.17,1695585.16,1695585.16,904312.0852,2825975.266,987724800,4,1482
Creature,4.3,750000,187500,47372409.13,46622409.13,337500,112500,56250,45000,93750,511574400,10,2482
Secret Admirer,6.6,22607802.13,5651950.532,8622757,-13985045.13,12434291.17,1695585.16,1695585.16,904312.0852,2825975.266,487555200,4,345
"No Retreat, No Surrender",5.7,58084599.21,21781724.7,4662137,-53422462.21,26138069.64,17425379.76,4356344.941,2323383.968,7260574.901,515376000,0,1542
D.A.R.Y.L.,6.3,51125000,10225000,7840873,-43284127,23006250,7668750,6390625,3834375,6390625,487555200,7,1774
Mishima: A Life in Four Chapters,8,5000000,875000,569996,-4430004,2750000,375000,375000,200000,625000,496022400,3,1480
A Chorus Line,6.2,27000000,4725000,14202899,-12797101,17550000,2025000,2025000,1080000,3375000,503884800,6,1857
Cat's Eye,6.3,7000000,1750000,13086298,6086298,3850000,525000,525000,280000,875000,482112000,4,692
Murphy's Romance,7,13000000,3250000,30867525,17867525,7150000,975000,975000,520000,1625000,507513600,4,2323
Heaven Help Us,6.9,22607802.13,5651950.532,6070794,-16537008.13,12434291.17,1695585.16,1695585.16,904312.0852,2825975.266,476668800,4,679
American Flyers,6.5,22914608.79,4010056.539,1420355,-21494253.79,14894495.71,1718595.659,1718595.659,916584.3517,2864326.099,492998400,6,1495
The Journey of Natty Gann,7,45708389.06,17140645.9,9708373,-36000016.06,20568775.08,13712516.72,3428129.179,1828335.562,5713548.632,496627200,1,1840
Trouble in Mind,6.5,22607802.13,5651950.532,19632,-22588170.13,12434291.17,1695585.16,1695585.16,904312.0852,2825975.266,987724800,4,1526
Fandango,6.7,7000000,1750000,91666,-6908334,3850000,525000,525000,280000,875000,475459200,4,1495
Gotcha!,6.2,58084599.21,21781724.7,10806919,-47277680.21,26138069.64,17425379.76,4356344.941,2323383.968,7260574.901,483926400,0,160
Death Wish 3,5.9,9000000,3375000,16116878,7116878,4050000,2700000,675000,360000,1125000,499651200,0,391
King Solomon's Mines,5.2,12500000,4687500,15057465,2557465,5625000,3750000,937500,500000,1562500,501465600,0,2208
American Warrior,5.5,1000000,375000,10499694,9499694,450000,300000,75000,40000,125000,494208000,0,1858
The Emerald Forest,6.9,58084599.21,21781724.7,24468550,-33616049.21,26138069.64,17425379.76,4356344.941,2323383.968,7260574.901,489196800,0,2145
The Holcroft Covenant,5.7,58084599.21,21781724.7,393825,-57690774.21,26138069.64,17425379.76,4356344.941,2323383.968,7260574.901,498441600,0,1851
The Falcon and the Snowman,6.8,12000000,2100000,17130087,5130087,6600000,900000,900000,480000,1500000,476668800,3,2622
Transylvania 6-5000,5,3000000,750000,7196872,4196872,1650000,225000,225000,120000,375000,500256000,4,1165
Desert Hearts,7,1250000,218750,2492088,1242088,812500,93750,93750,50000,156250,510537600,6,982
The Heavenly Kid,6.3,22607802.13,5651950.532,3852271,-18755531.13,12434291.17,1695585.16,1695585.16,904312.0852,2825975.266,491184000,4,1605
The Purple Rose of Cairo,7.7,15000000,3750000,10631333,-4368667,8250000,1125000,1125000,600000,1875000,482716800,4,1846
The Man with One Red Shoe,5.7,16000000,4000000,8645411,-7354589,8800000,1200000,1200000,640000,2000000,490579200,4,2641
My Life as a Dog,7.6,22914608.79,4010056.539,8349284,-14565324.79,14894495.71,1718595.659,1718595.659,916584.3517,2864326.099,546825600,6,169
My Science Project,6,58084599.21,21781724.7,4122748,-53961851.21,26138069.64,17425379.76,4356344.941,2323383.968,7260574.901,492393600,0,1318
Seven Minutes in Heaven,6.1,22607802.13,5651950.532,44331874.3,21724072.17,12434291.17,1695585.16,1695585.16,904312.0852,2825975.266,484444800,4,1183
Fraternity Vacation,5.3,22607802.13,5651950.532,3333306,-19274496.13,12434291.17,1695585.16,1695585.16,904312.0852,2825975.266,482112000,4,2495
The New Kids,6.1,22363565.63,4472713.126,199108,-22164457.63,12299961.1,3354534.844,1677267.422,1341813.938,2795445.704,474854400,5,2424
Tomboy,4.7,22607802.13,5651950.532,14100000,-8507802.129,12434291.17,1695585.16,1695585.16,904312.0852,2825975.266,500774400,4,243
Invasion U.S.A.,5.5,10000000,3750000,17536256,7536256,4500000,3000000,750000,400000,1250000,496627200,0,472
Revolution,5.3,28000000,10500000,358574,-27641426,12600000,8400000,2100000,1120000,3500000,504316800,1,38
Lost in America,7,22607802.13,5651950.532,10179000,-12428802.13,12434291.17,1695585.16,1695585.16,904312.0852,2825975.266,476668800,4,48
Subway,6.6,10511111.11,2102222.222,390659,-10120452.11,5781111.111,1576666.667,788333.3333,630666.6667,1313888.889,500083200,17,462
Moving Violations,5.7,22607802.13,5651950.532,10627754,-11980048.13,12434291.17,1695585.16,1695585.16,904312.0852,2825975.266,482716800,4,1310
Nomads,5.3,12825159.09,3206289.773,2278264,-10546895.09,5771321.591,1923773.864,961886.9318,769509.5455,1603144.886,510537600,10,1598
Fool for Love,6.1,22914608.79,4010056.539,836156,-22078452.79,14894495.71,1718595.659,1718595.659,916584.3517,2864326.099,516412800,6,2333
Baby: Secret of the Lost Legend,5.1,45708389.06,17140645.9,14972297,-30736092.06,20568775.08,13712516.72,3428129.179,1828335.562,5713548.632,480297600,1,2768
Code of Silence,6.1,7000000,2625000,20345361,13345361,3150000,2100000,525000,280000,875000,483926400,0,472
Crimewave,5.7,3000000,750000,5101,-2994899,1650000,225000,225000,120000,375000,514771200,4,1672
Gymkata,4.4,58084599.21,21781724.7,5730596,-52354003.21,26138069.64,17425379.76,4356344.941,2323383.968,7260574.901,483926400,0,1544
Sweet Dreams,7.1,25312316.72,4429655.427,9085049,-16227267.72,13921774.2,1898423.754,1898423.754,1012492.669,3164039.59,497836800,3,1224
The Slugger's Wife,4.5,22607802.13,5651950.532,1878561,-20729241.13,12434291.17,1695585.16,1695585.16,904312.0852,2825975.266,480902400,4,1874
Avenging Angel,4.8,58084599.21,21781724.7,5622787,-52461812.21,26138069.64,17425379.76,4356344.941,2323383.968,7260574.901,474249600,0,243
Santa Claus: The Movie,6.3,50000000,18750000,23717291,-26282709,22500000,15000000,3750000,2000000,6250000,501897600,1,695
That Was Then... This Is Now,6.2,22363565.63,4472713.126,8630068,-13733497.63,12299961.1,3354534.844,1677267.422,1341813.938,2795445.704,500256000,5,757
Agnes of God,6.6,10000000,1750000,25627836,15627836,6500000,750000,750000,400000,1250000,496627200,6,1111
Rustlers' Rhapsody,6.5,22607802.13,5651950.532,6090497,-16517305.13,12434291.17,1695585.16,1695585.16,904312.0852,2825975.266,484531200,4,2634
The Adventures of Mark Twain,7.4,75785197.13,15157039.43,849915,-74935282.13,26524819,34103338.71,7578519.713,3789259.857,9473149.642,491184000,2,1100
Stick,5.7,22000000,8250000,8489518,-13510482,9900000,6600000,1650000,880000,2750000,483321600,0,343
The Bride,5.3,13000000,3900000,3558669,-9441331,4550000,5200000,1625000,650000,1625000,492998400,8,2521
Morons from Outer Space,4.5,22607802.13,5651950.532,441137,-22166665.13,12434291.17,1695585.16,1695585.16,904312.0852,2825975.266,496022400,4,1828
Godzilla 1985,6.2,2000000,750000,4116395,2116395,900000,600000,150000,80000,250000,493603200,0,2184
Plenty,6,10000000,1750000,6148000,-3852000,6500000,750000,750000,400000,1250000,496022400,6,1841
King David,5.3,22000000,8250000,5111099,-16888901,9900000,6600000,1650000,880000,2750000,480902400,1,2212
The Trip to Bountiful,7.5,22914608.79,4010056.539,7491903,-15422705.79,14894495.71,1718595.659,1718595.659,916584.3517,2864326.099,506908800,6,896
Missing in Action 2: The Beginning,5.3,2410000,903750,10755447,8345447,1084500,723000,180750,96400,301250,478483200,0,472
The Protector,5.7,5000000,1875000,981817,-4018183,2250000,1500000,375000,200000,625000,493603200,0,1052
The Mean Season,6.1,7000000,1400000,4349446,-2650554,3850000,1050000,525000,420000,875000,477273600,5,1543
Turk 182,6,22607802.13,5651950.532,3594997,-19012805.13,12434291.17,1695585.16,1695585.16,904312.0852,2825975.266,477273600,4,2622
The Official Story,7.8,22914608.79,4010056.539,69832,-22844776.79,14894495.71,1718595.659,1718595.659,916584.3517,2864326.099,500256000,6,2017
Krush Groove,6.5,3000000,750000,11052713,8052713,1650000,225000,225000,120000,375000,499046400,4,2440
He-Man and She-Ra: The Secret of the Sword,7.3,2000000,400000,7660857,5660857,700000,900000,200000,100000,250000,480297600,2,1291
Warning Sign,6.1,22914608.79,4010056.539,1918117,-20996491.79,14894495.71,1718595.659,1718595.659,916584.3517,2864326.099,493603200,6,2334
Creator,6.2,22607802.13,5651950.532,5349607,-17258195.13,12434291.17,1695585.16,1695585.16,904312.0852,2825975.266,496022400,4,2127
Taipei Story,7.7,22914608.79,4010056.539,35336,-22879272.79,14894495.71,1718595.659,1718595.659,916584.3517,2864326.099,987724800,6,414
Otac na sluzbenom putu,7.8,22914608.79,4010056.539,34751,-22879857.79,14894495.71,1718595.659,1718595.659,916584.3517,2864326.099,497836800,6,1940
The Aviator,5.5,45708389.06,17140645.9,1304192,-44404197.06,20568775.08,13712516.72,3428129.179,1828335.562,5713548.632,479692800,1,466
Starchaser: The Legend of Orin,6.5,15000000,3000000,3360800,-11639200,5250000,6750000,1500000,750000,1875000,501465600,2,1264
Maxie,5.4,22607802.13,5651950.532,2564278,-20043524.13,12434291.17,1695585.16,1695585.16,904312.0852,2825975.266,496627200,4,912
DEFCON-4,4.5,58084599.21,21781724.7,1057064,-57027535.21,26138069.64,17425379.76,4356344.941,2323383.968,7260574.901,479692800,0,1591
The Care Bears Movie,5.7,2000000,400000,22934622,20934622,700000,900000,200000,100000,250000,480902400,2,895
Sylvester,6.4,22914608.79,4010056.539,385687,-22528921.79,14894495.71,1718595.659,1718595.659,916584.3517,2864326.099,479692800,6,2211
Radioactive Dreams,5.6,58084599.21,21781724.7,220038,-57864561.21,26138069.64,17425379.76,4356344.941,2323383.968,7260574.901,527472000,0,1318
Twice in a Lifetime,6.5,8000000,1400000,8402424,402424,5200000,600000,600000,320000,1000000,500256000,6,878
Dance with a Stranger,6.7,25312316.72,4429655.427,2174622,-23137694.72,13921774.2,1898423.754,1898423.754,1012492.669,3164039.59,492393600,3,1927
Water,6.1,45708389.06,17140645.9,1256862,-44451527.06,20568775.08,13712516.72,3428129.179,1828335.562,5713548.632,514166400,1,1851
One Magic Christmas,6.5,51125000,10225000,13677222,-37447778,23006250,7668750,6390625,3834375,6390625,501465600,7,1778
Echo Park,5.8,22607802.13,5651950.532,44331874.3,21724072.17,12434291.17,1695585.16,1695585.16,904312.0852,2825975.266,522633600,4,2531
O.C. and Stiggs,5.4,7000000,1750000,29815,-6970185,3850000,525000,525000,280000,875000,987724800,4,549
The Good Father,6.2,22914608.79,4010056.539,421201,-22493407.79,14894495.71,1718595.659,1718595.659,916584.3517,2864326.099,540000000,6,162
Fever Pitch,4.1,7000000,1225000,618847,-6381153,4550000,525000,525000,280000,875000,501465600,6,2311
The Doctor and the Devils,6.1,22363565.63,4472713.126,147070,-22216495.63,12299961.1,3354534.844,1677267.422,1341813.938,2795445.704,497232000,5,2621
Head Office,5.4,22607802.13,5651950.532,3393807,-19213995.13,12434291.17,1695585.16,1695585.16,904312.0852,2825975.266,505094400,4,1375
Eleni,7,22914608.79,4010056.539,305102,-22609506.79,14894495.71,1718595.659,1718595.659,916584.3517,2864326.099,503971200,6,1440
Dreamchild,6.8,25312316.72,4429655.427,1215923,-24096393.72,13921774.2,1898423.754,1898423.754,1012492.669,3164039.59,497232000,3,501
Defense of the Realm,6.5,10511111.11,2102222.222,750000,-9761111.111,5781111.111,1576666.667,788333.3333,630666.6667,1313888.889,532915200,17,856
Bad Medicine,4.6,22607802.13,5651950.532,2685453,-19922349.13,12434291.17,1695585.16,1695585.16,904312.0852,2825975.266,501465600,4,2507
Wetherby,6.8,22914608.79,4010056.539,1299985,-21614623.79,14894495.71,1718595.659,1718595.659,916584.3517,2864326.099,490579200,6,2704
Compromising Positions,5.9,22607802.13,5651950.532,12531831,-10075971.13,12434291.17,1695585.16,1695585.16,904312.0852,2825975.266,494208000,4,2532
Rainbow Brite and the Star Stealer,6.9,75785197.13,15157039.43,4889971,-70895226.13,26524819,34103338.71,7578519.713,3789259.857,9473149.642,500860800,2,246
Alamo Bay,6,5000000,1875000,145508580.8,140508580.8,2250000,1500000,375000,200000,625000,481334400,0,105
Three Men and a Cradle,6.6,22607802.13,5651950.532,2052466,-20555336.13,12434291.17,1695585.16,1695585.16,904312.0852,2825975.266,514771200,4,2271
In the Shadow of Kilimanjaro,5.1,58084599.21,21781724.7,145508580.8,87423981.64,26138069.64,17425379.76,4356344.941,2323383.968,7260574.901,515980800,0,1312
Rappin',4.1,2000000,350000,2864844,864844,1300000,150000,150000,80000,250000,484531200,6,1737
Bal na vodi,7.6,22914608.79,4010056.539,38930959.49,16016350.7,14894495.71,1718595.659,1718595.659,916584.3517,2864326.099,498960000,6,864
Certain Fury,5.2,58084599.21,21781724.7,1381091,-56703508.21,26138069.64,17425379.76,4356344.941,2323383.968,7260574.901,478483200,0,2566
Bliss,6.9,22607802.13,5651950.532,44331874.3,21724072.17,12434291.17,1695585.16,1695585.16,904312.0852,2825975.266,509328000,4,211
Code Name: Emerald,5.9,58084599.21,21781724.7,561548,-57523051.21,26138069.64,17425379.76,4356344.941,2323383.968,7260574.901,496627200,0,702
Colonel Redl,7.5,25312316.72,4429655.427,2357,-25309959.72,13921774.2,1898423.754,1898423.754,1012492.669,3164039.59,497232000,3,1521
Thunder Run,5,58084599.21,21781724.7,145508580.8,87423981.64,26138069.64,17425379.76,4356344.941,2323383.968,7260574.901,517795200,0,832
Marie,6.7,25312316.72,4429655.427,2507995,-22804321.72,13921774.2,1898423.754,1898423.754,1012492.669,3164039.59,496627200,3,2463
Movers & Shakers,4.2,22607802.13,5651950.532,372438,-22235364.13,12434291.17,1695585.16,1695585.16,904312.0852,2825975.266,575769600,4,2738
La Cage aux Folles 3: The Wedding,4.7,22607802.13,5651950.532,345280,-22262522.13,12434291.17,1695585.16,1695585.16,904312.0852,2825975.266,508723200,4,1895
James Joyce's Women,6.1,22914608.79,4010056.539,38930959.49,16016350.7,14894495.71,1718595.659,1718595.659,916584.3517,2864326.099,495417600,6,826
Turtle Diary,6.9,22607802.13,5651950.532,2156772,-20451030.13,12434291.17,1695585.16,1695585.16,904312.0852,2825975.266,508723200,4,911
Maccheroni,6.4,22607802.13,5651950.532,44331874.3,21724072.17,12434291.17,1695585.16,1695585.16,904312.0852,2825975.266,498960000,4,1046
My Man Adam,5.3,22607802.13,5651950.532,44331874.3,21724072.17,12434291.17,1695585.16,1695585.16,904312.0852,2825975.266,499046400,4,2176
Sudden Death,4.8,58084599.21,21781724.7,145508580.8,87423981.64,26138069.64,17425379.76,4356344.941,2323383.968,7260574.901,495417600,0,633
One Woman or Two,5.1,22607802.13,5651950.532,44331874.3,21724072.17,12434291.17,1695585.16,1695585.16,904312.0852,2825975.266,540777600,4,941
Joshua Then and Now,6.6,22607802.13,5651950.532,542420,-22065382.13,12434291.17,1695585.16,1695585.16,904312.0852,2825975.266,496022400,4,1102
On the Edge,6.8,22914608.79,4010056.539,38930959.49,16016350.7,14894495.71,1718595.659,1718595.659,916584.3517,2864326.099,515376000,6,331
The Girl in the Picture,6.3,22607802.13,5651950.532,202428,-22405374.13,12434291.17,1695585.16,1695585.16,904312.0852,2825975.266,489369600,4,1297
Here Come the Littles,6.9,75785197.13,15157039.43,6565359,-69219838.13,26524819,34103338.71,7578519.713,3789259.857,9473149.642,485740800,2,1245
Came a Hot Friday,6.6,45708389.06,17140645.9,109325230.2,63616841.16,20568775.08,13712516.72,3428129.179,1828335.562,5713548.632,497232000,1,2114
Wuthering Heights,6.5,22914608.79,4010056.539,38930959.49,16016350.7,14894495.71,1718595.659,1718595.659,916584.3517,2864326.099,497664000,6,808
The Frog Prince,6.6,22607802.13,5651950.532,44331874.3,21724072.17,12434291.17,1695585.16,1695585.16,904312.0852,2825975.266,509328000,4,1114
Lune de miel,4.6,10511111.11,2102222.222,26935259.42,16424148.31,5781111.111,1576666.667,788333.3333,630666.6667,1313888.889,501292800,17,1968
Tea in the Harem,6.9,22914608.79,4010056.539,38930959.49,16016350.7,14894495.71,1718595.659,1718595.659,916584.3517,2864326.099,518400000,6,1414
Mr. Love,6.4,22607802.13,5651950.532,44331874.3,21724072.17,12434291.17,1695585.16,1695585.16,904312.0852,2825975.266,514771200,4,210
Death of an Angel,5.4,22914608.79,4010056.539,38930959.49,16016350.7,14894495.71,1718595.659,1718595.659,916584.3517,2864326.099,510537600,6,285
Sincerely Charlotte,5.6,22914608.79,4010056.539,38930959.49,16016350.7,14894495.71,1718595.659,1718595.659,916584.3517,2864326.099,522028800,6,1038
Top Gun,6.9,15000000,5625000,357288178,342288178,6750000,4500000,1125000,600000,1875000,516585600,0,2636
Aliens,8.3,18500000,6937500,131060248,112560248,8325000,5550000,1387500,740000,2312500,522028800,0,2456
Stand by Me,8.1,8000000,3000000,52287414,44287414,3600000,2400000,600000,320000,1000000,525052800,1,2753
Ferris Bueller's Day Off,7.8,6000000,1500000,70720215,64720215,3300000,450000,450000,240000,750000,518832000,4,1798
Crocodile Dundee,6.6,8800000,3300000,328203506,319403506,3960000,2640000,660000,352000,1100000,528076800,0,2083
Labyrinth,7.4,25000000,9375000,13915874,-11084126,11250000,7500000,1875000,1000000,3125000,520214400,1,587
Highlander,7.1,16000000,6000000,5900712,-10099288,7200000,4800000,1200000,640000,2000000,510537600,0,462
Big Trouble in Little China,7.3,25000000,9375000,11100577,-13899423,11250000,7500000,1875000,1000000,3125000,520646400,0,1543
Pretty in Pink,6.8,9000000,2250000,40479480,31479480,4950000,675000,675000,360000,1125000,509932800,4,1936
Platoon,8.1,6000000,1050000,138545632,132545632,3900000,450000,450000,240000,750000,539568000,6,399
Blue Velvet,7.7,6000000,1050000,8618766,2618766,3900000,450000,450000,240000,750000,530409600,6,1036
Manhunter,7.2,15000000,3000000,8621783,-6378217,8250000,2250000,1125000,900000,1875000,524448000,5,2770
Howard the Duck,4.7,37000000,13875000,37962774,962774,16650000,11100000,2775000,1480000,4625000,523238400,0,1582
The Fly,7.6,15000000,2625000,60629159,45629159,9750000,1125000,1125000,600000,1875000,524448000,6,1165
Little Shop of Horrors,7,25000000,6250000,38983045,13983045,13750000,1875000,1875000,1000000,3125000,535334400,4,2223
The Mosquito Coast,6.6,25000000,9375000,14302779,-10697221,11250000,7500000,1875000,1000000,3125000,533347200,1,960
The Karate Kid Part II,6.1,58084599.21,21781724.7,115103979,57019379.79,26138069.64,17425379.76,4356344.941,2323383.968,7260574.901,519609600,0,2065
River's Edge,7,1900000,380000,4600000,2700000,1045000,285000,142500,114000,237500,547430400,5,511
9½ Weeks,6,17000000,2975000,6735922,-10264078,11050000,1275000,1275000,680000,2125000,509328000,6,1903
The Golden Child,6,25000000,9375000,79817937,54817937,11250000,7500000,1875000,1000000,3125000,534729600,0,711
Star Trek IV: The Voyage Home,7.3,25000000,9375000,109713132,84713132,11250000,7500000,1875000,1000000,3125000,533347200,0,2772
Short Circuit,6.7,15000000,3750000,40697761,25697761,8250000,1125000,1125000,600000,1875000,515980800,4,89
The Delta Force,5.6,12000000,4500000,17768900,5768900,5400000,3600000,900000,480000,1500000,508723200,0,472
The Name of the Rose,7.7,22363565.63,4472713.126,7153487,-15210078.63,12299961.1,3354534.844,1677267.422,1341813.938,2795445.704,527904000,5,2387
The Wraith,6,2700000,1012500,3500000,800000,1215000,810000,202500,108000,337500,532915200,0,399
The Color of Money,7,13800000,2415000,52293982,38493982,8970000,1035000,1035000,552000,1725000,529891200,6,2091
Hoosiers,7.5,6000000,1050000,28607524,22607524,3900000,450000,450000,240000,750000,541382400,6,878
Heartbreak Ridge,6.9,15000000,2625000,42724017,27724017,9750000,1125000,1125000,600000,1875000,534124800,6,484
Flight of the Navigator,6.9,9000000,3375000,18564613,9564613,4050000,2700000,675000,360000,1125000,523238400,1,1272
Cobra,5.8,25000000,9375000,49042224,24042224,11250000,7500000,1875000,1000000,3125000,517190400,0,2539
